"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Japan","Viet Nam","2003","1691","4","1691","4"
"Jordan","Bosnia and Herzegovina","2003","13","13","13","13"
"Jordan","Egypt","2003","3","3","3","3"
"Jordan","Eritrea","2003","1","1","1","1"
"Jordan","Ethiopia","2003","3","3","3","3"
"Jordan","Iraq","2003","965","965","965","965"
"Jordan","Libya","2003","1","1","1","1"
"Jordan","Russian Federation","2003","78","78","78","78"
"Jordan","Somalia","2003","46","46","46","46"
"Jordan","Stateless","2003","17","17","17","17"
"Jordan","Sudan","2003","38","38","38","38"
"Jordan","Syrian Arab Rep.","2003","28","28","28","28"
"Jordan","Tunisia","2003","1","1","1","1"
"Jordan","Yemen","2003","2","2","2","2"
"Kazakhstan","Afghanistan","2003","657","552","657","552"
"Kazakhstan","China","2003","19","19","19","19"
"Kazakhstan","Ethiopia","2003","5","5","5","5"
"Kazakhstan","Russian Federation","2003","13684","11895","13684","11895"
"Kazakhstan","Somalia","2003","1","1","1","1"
"Kazakhstan","State of Palestine","2003","11","11","11","11"
"Kazakhstan","Tajikistan","2003","1454","75","1454","75"
"Kenya","Angola","2003","2","2","2","2"
"Kenya","Burundi","2003","404","404","404","404"
"Kenya","Dem. Rep. of the Congo","2003","1153","1153","1153","1153"
"Kenya","Eritrea","2003","379","379","379","379"
"Kenya","Ethiopia","2003","11139","11139","11139","11139"
"Kenya","Liberia","2003","7","7","7","7"
"Kenya","Rwanda","2003","2520","2520","2520","2520"
"Kenya","Somalia","2003","154272","154272","154272","154272"
"Kenya","Sudan","2003","63197","63197","63197","63197"
"Kenya","Uganda","2003","4438","4438","4438","4438"
"Kenya","United Rep. of Tanzania","2003","1","1","1","1"
"Kuwait","Afghanistan","2003","78","53","78","53"
"Kuwait","Iraq","2003","417","275","417","275"
"Kuwait","Somalia","2003","107","65","107","65"
"Kuwait","State of Palestine","2003","910","399","910","399"
"Kuwait","Various","2003","6","6","6","6"
"Kyrgyzstan","Afghanistan","2003","648","590","648","590"
"Kyrgyzstan","China","2003","10","11","10","11"
"Kyrgyzstan","Islamic Rep. of Iran","2003","4","","4",""
"Kyrgyzstan","Sri Lanka","2003","","1","","1"
"Kyrgyzstan","Tajikistan","2003","4929","4683","4929","4683"
"Latvia","Afghanistan","2003","1","","1",""
"Latvia","Belarus","2003","3","","3",""
"Latvia","Dem. Rep. of the Congo","2003","1","","1",""
"Latvia","Iraq","2003","1","","1",""
"Latvia","Pakistan","2003","3","","3",""
"Latvia","Russian Federation","2003","6","","6",""
"Latvia","Stateless","2003","1","","1",""
"Latvia","Sudan","2003","1","","1",""
"Lebanon","Afghanistan","2003","49","19","49","19"
"Lebanon","Algeria","2003","27","16","27","16"
"Lebanon","Bahrain","2003","1","","1",""
"Lebanon","Burundi","2003","4","","4",""
"Lebanon","Chad","2003","1","2","1","2"
"Lebanon","Congo","2003","1","1","1","1"
"Lebanon","Dem. Rep. of the Congo","2003","8","4","8","4"
"Lebanon","Egypt","2003","10","","10",""
"Lebanon","Eritrea","2003","2","2","2","2"
"Lebanon","Ethiopia","2003","3","3","3","3"
"Lebanon","Iraq","2003","1476","1088","1476","1088"
"Lebanon","Islamic Rep. of Iran","2003","9","8","9","8"
"Lebanon","Jordan","2003","22","17","22","17"
"Lebanon","Liberia","2003","18","6","18","6"
"Lebanon","Nigeria","2003","4","","4",""
"Lebanon","Saudi Arabia","2003","1","3","1","3"
"Lebanon","Sierra Leone","2003","69","39","69","39"
"Lebanon","Somalia","2003","134","92","134","92"
"Lebanon","Stateless","2003","4","","4",""
"Lebanon","Sudan","2003","615","543","615","543"
"Lebanon","Tunisia","2003","24","21","24","21"
"Lebanon","Turkey","2003","28","17","28","17"
"Lebanon","Various","2003","2","","2",""
"Lebanon","Yemen","2003","10","6","10","6"
"Liberia","Algeria","2003","1","1","1","1"
"Liberia","Congo","2003","1","","1",""
"Liberia","Côte d'Ivoire","2003","20000","360","20000","360"
"Liberia","Dem. Rep. of the Congo","2003","3","3","3","3"
"Liberia","Ghana","2003","1","","1",""
"Liberia","Iraq","2003","3","","3",""
"Liberia","Lebanon","2003","12","","12",""
"Liberia","Nigeria","2003","7","","7",""
"Liberia","Rwanda","2003","1","1","1","1"
"Liberia","Sierra Leone","2003","13941","13941","13941","13941"
"Liberia","Somalia","2003","1","1","1","1"
"Liberia","State of Palestine","2003","1","1","1","1"
"Liberia","Sudan","2003","22","19","22","19"
"Liberia","Togo","2003","2","2","2","2"
"Liberia","Uganda","2003","1","","1",""
"Libya","Bosnia and Herzegovina","2003","4","1","4","1"
"Libya","Burundi","2003","2","","2",""
"Libya","Chad","2003","9","2","9","2"
"Libya","Côte d'Ivoire","2003","4","","4",""
"Libya","Dem. Rep. of the Congo","2003","5","","5",""
"Libya","Eritrea","2003","1","10","1","10"
"Libya","Iraq","2003","43","5","43","5"
"Libya","Liberia","2003","24","6","24","6"
"Libya","Mauritania","2003","1","","1",""
"Libya","Rwanda","2003","9","","9",""
"Libya","Sierra Leone","2003","96","20","96","20"
"Libya","Somalia","2003","2906","503","2906","503"
"Libya","State of Palestine","2003","8787","521","8787","521"
"Libya","Stateless","2003","3","","3",""
"Libya","Sudan","2003","3","4","3","4"
"Liechtenstein","Algeria","2003","2","","2",""
"Liechtenstein","Armenia","2003","8","","8",""
"Liechtenstein","Bosnia and Herzegovina","2003","65","","65",""
"Liechtenstein","Serbia (and Kosovo: S/RES/1244 (1999))","2003","36","","36",""
"Liechtenstein","Tibetans","2003","38","","38",""
"Lithuania","Afghanistan","2003","89","89","89","89"
"Lithuania","Azerbaijan","2003","1","1","1","1"
"Lithuania","Congo","2003","1","1","1","1"
"Lithuania","Georgia","2003","2","2","2","2"
"Lithuania","Iraq","2003","9","9","9","9"
"Lithuania","Islamic Rep. of Iran","2003","6","6","6","6"
"Lithuania","Nigeria","2003","1","1","1","1"
"Lithuania","Pakistan","2003","4","4","4","4"
"Lithuania","Russian Federation","2003","258","258","258","258"
"Lithuania","Somalia","2003","22","22","22","22"
"Lithuania","Sri Lanka","2003","5","5","5","5"
"Lithuania","Stateless","2003","4","4","4","4"
"Lithuania","Ukraine","2003","1","1","1","1"
"Luxembourg","Various","2003","1201","","1201",""
"Malawi","Burundi","2003","710","710","710","710"
"Malawi","Dem. Rep. of the Congo","2003","940","940","940","940"
"Malawi","Eritrea","2003","4","4","4","4"
"Malawi","Ethiopia","2003","4","4","4","4"
"Malawi","Rwanda","2003","1423","1423","1423","1423"
"Malawi","Somalia","2003","115","115","115","115"
"Malawi","Sudan","2003","3","3","3","3"
"Malawi","Various","2003","3","3","3","3"
"Malaysia","Afghanistan","2003","18","9","18","9"
"Malaysia","China","2003","6","5","6","5"
"Malaysia","Indonesia","2003","3198","26","3198","26"
"Malaysia","Iraq","2003","19","","19",""
"Malaysia","Islamic Rep. of Iran","2003","6","4","6","4"
"Malaysia","Myanmar","2003","4152","32","4152","32"
"Malaysia","Nigeria","2003","1","","1",""
"Malaysia","Philippines","2003","7","","7",""
"Malaysia","Somalia","2003","11","7","11","7"
"Malaysia","State of Palestine","2003","1","","1",""
"Malaysia","Sudan","2003","1","1","1","1"
"Malaysia","Tunisia","2003","3","","3",""
"Malaysia","Viet Nam","2003","1","1","1","1"
"Mali","Algeria","2003","1","1","1","1"
"Mali","Burundi","2003","43","43","43","43"
"Mali","Cameroon","2003","20","20","20","20"
"Mali","Central African Rep.","2003","3","3","3","3"
"Mali","Chad","2003","38","38","38","38"
"Mali","Congo","2003","51","51","51","51"
"Mali","Côte d'Ivoire","2003","1504","1504","1504","1504"
"Mali","Dem. Rep. of the Congo","2003","89","89","89","89"
"Mali","Liberia","2003","397","397","397","397"
"Mali","Mauritania","2003","6148","6148","6148","6148"
"Mali","Nigeria","2003","76","76","76","76"
"Mali","Rwanda","2003","85","85","85","85"
"Mali","Sierra Leone","2003","1411","1411","1411","1411"
"Mali","Togo","2003","57","57","57","57"
"Mali","Various","2003","86","86","86","86"
"Malta","Afghanistan","2003","8","","8",""
"Malta","Algeria","2003","22","","22",""
"Malta","Côte d'Ivoire","2003","14","","14",""
"Malta","Dem. Rep. of the Congo","2003","52","","52",""
"Malta","Egypt","2003","6","","6",""
"Malta","Eritrea","2003","30","","30",""
"Malta","Ethiopia","2003","20","","20",""
"Malta","Iraq","2003","70","","70",""
"Malta","Islamic Rep. of Iran","2003","3","","3",""
"Malta","Liberia","2003","7","","7",""
"Malta","Libya","2003","8","","8",""
"Malta","Mali","2003","1","","1",""
"Malta","Morocco","2003","7","","7",""
"Malta","Serbia (and Kosovo: S/RES/1244 (1999))","2003","25","","25",""
"Malta","Sierra Leone","2003","19","","19",""
"Malta","Somalia","2003","176","","176",""
"Malta","Sri Lanka","2003","12","","12",""
"Malta","State of Palestine","2003","27","","27",""
"Malta","Sudan","2003","34","","34",""
"Malta","Syrian Arab Rep.","2003","7","","7",""
"Malta","Tunisia","2003","2","","2",""
"Malta","Turkey","2003","17","","17",""
"Malta","Various","2003","328","","328",""
"Mauritania","Angola","2003","1","1","1","1"
"Mauritania","Congo","2003","3","3","3","3"
"Mauritania","Côte d'Ivoire","2003","9","9","9","9"
"Mauritania","Dem. Rep. of the Congo","2003","9","9","9","9"
"Mauritania","Guinea","2003","7","7","7","7"
"Mauritania","Liberia","2003","99","99","99","99"
"Mauritania","Sierra Leone","2003","341","341","341","341"
"Mauritania","Sudan","2003","1","1","1","1"
"Mauritania","Various","2003","5","5","5","5"
"Mexico","Afghanistan","2003","2","1","2","1"
"Mexico","Albania","2003","4","8","4","8"
"Mexico","Algeria","2003","1","1","1","1"
"Mexico","Angola","2003","2","6","2","6"
"Mexico","Bangladesh","2003","3","1","3","1"
"Mexico","Bolivia (Plurinational State of)","2003","1","1","1","1"
"Mexico","Bosnia and Herzegovina","2003","1","","1",""
"Mexico","Chile","2003","4","6","4","6"
"Mexico","Colombia","2003","48","44","48","44"
"Mexico","Congo","2003","8","10","8","10"
"Mexico","Côte d'Ivoire","2003","4","4","4","4"
"Mexico","Cuba","2003","26","9","26","9"
"Mexico","Dem. Rep. of the Congo","2003","9","8","9","8"
"Mexico","Ecuador","2003","1","","1",""
"Mexico","El Salvador","2003","1687","98","1687","98"
"Mexico","Eritrea","2003","3","3","3","3"
"Mexico","Ethiopia","2003","6","7","6","7"
"Mexico","Ghana","2003","1","","1",""
"Mexico","Guatemala","2003","4116","9598","4116","9598"
"Mexico","Haiti","2003","8","6","8","6"
"Mexico","Honduras","2003","38","16","38","16"
"Mexico","Iraq","2003","9","4","9","4"
"Mexico","Islamic Rep. of Iran","2003","10","6","10","6"
"Mexico","Jordan","2003","1","1","1","1"
"Mexico","Kenya","2003","1","","1",""
"Mexico","Lebanon","2003","2","1","2","1"
"Mexico","Liberia","2003","5","1","5","1"
"Mexico","Nicaragua","2003","19","1","19","1"
"Mexico","Nigeria","2003","3","5","3","5"
"Mexico","Pakistan","2003","1","1","1","1"
"Mexico","Peru","2003","22","6","22","6"
"Mexico","Russian Federation","2003","4","3","4","3"
"Mexico","Serbia (and Kosovo: S/RES/1244 (1999))","2003","7","2","7","2"
"Mexico","Sierra Leone","2003","6","1","6","1"
"Mexico","Sri Lanka","2003","9","1","9","1"
"Mexico","State of Palestine","2003","","3","","3"
"Mexico","Sudan","2003","2","1","2","1"
"Mexico","Venezuela (Bolivarian Republic of)","2003","1","","1",""
"Morocco","Afghanistan","2003","8","","8",""
"Morocco","Algeria","2003","25","","25",""
"Morocco","Angola","2003","9","","9",""
"Morocco","Armenia","2003","1","","1",""
"Morocco","Bosnia and Herzegovina","2003","8","","8",""
"Morocco","Bulgaria","2003","9","","9",""
"Morocco","Burkina Faso","2003","6","","6",""
"Morocco","Burundi","2003","6","","6",""
"Morocco","Cambodia","2003","6","","6",""
"Morocco","Cameroon","2003","4","","4",""
"Morocco","Central African Rep.","2003","2","","2",""
"Morocco","Chad","2003","10","","10",""
"Morocco","China","2003","7","","7",""
"Morocco","Congo","2003","12","","12",""
"Morocco","Côte d'Ivoire","2003","5","","5",""
"Morocco","Czech Rep.","2003","14","","14",""
"Morocco","Dem. Rep. of the Congo","2003","17","","17",""
"Morocco","Egypt","2003","5","","5",""
"Morocco","Equatorial Guinea","2003","6","","6",""
"Morocco","Eritrea","2003","8","","8",""
"Morocco","Ethiopia","2003","9","","9",""
"Morocco","Iraq","2003","24","","24",""
"Morocco","Islamic Rep. of Iran","2003","7","","7",""
"Morocco","Liberia","2003","26","","26",""
"Morocco","Libya","2003","9","","9",""
"Morocco","Lithuania","2003","6","","6",""
"Morocco","Mauritania","2003","21","","21",""
"Morocco","Nigeria","2003","7","","7",""
"Morocco","Pakistan","2003","4","","4",""
"Morocco","Russian Federation","2003","1","","1",""
"Morocco","Rwanda","2003","11","","11",""
"Morocco","Serbia (and Kosovo: S/RES/1244 (1999))","2003","9","","9",""
"Morocco","Sierra Leone","2003","35","","35",""
"Morocco","Somalia","2003","8","","8",""
"Morocco","South Africa","2003","6","","6",""
"Morocco","State of Palestine","2003","811","","811",""
"Morocco","Stateless","2003","115","","115",""
"Morocco","Sudan","2003","16","","16",""
"Morocco","Syrian Arab Rep.","2003","9","","9",""
"Morocco","Tunisia","2003","6","","6",""
"Morocco","Turkey","2003","7","","7",""
"Morocco","Various","2003","800","","800",""
"Morocco","Viet Nam","2003","6","","6",""
"Mozambique","Burundi","2003","97","97","97","97"
"Mozambique","Dem. Rep. of the Congo","2003","101","101","101","101"
"Mozambique","Madagascar","2003","1","1","1","1"
"Mozambique","Rwanda","2003","100","100","100","100"
"Mozambique","Somalia","2003","11","11","11","11"
"Mozambique","Sudan","2003","1","1","1","1"
"Namibia","Angola","2003","17814","11814","17814","11814"
"Namibia","Burundi","2003","315","315","315","315"
"Namibia","Cameroon","2003","3","3","3","3"
"Namibia","Congo","2003","13","13","13","13"
"Namibia","Côte d'Ivoire","2003","2","2","2","2"
"Namibia","Dem. Rep. of the Congo","2003","998","998","998","998"
"Namibia","Ethiopia","2003","3","3","3","3"
"Namibia","Liberia","2003","23","23","23","23"
"Namibia","Oman","2003","1","1","1","1"
"Namibia","Rwanda","2003","612","612","612","612"
"Namibia","Sierra Leone","2003","5","5","5","5"
"Namibia","Somalia","2003","2","2","2","2"
"Namibia","Sudan","2003","4","4","4","4"
"Namibia","Uganda","2003","3","3","3","3"
"Namibia","United Rep. of Tanzania","2003","2","2","2","2"
"Nepal","Bhutan","2003","103650","103650","103650","103650"
"Nepal","China","2003","5","5","5","5"
"Nepal","Iraq","2003","2","2","2","2"
"Nepal","Islamic Rep. of Iran","2003","1","1","1","1"
"Nepal","Myanmar","2003","2","1","2","1"
"Nepal","Sri Lanka","2003","7","5","7","5"
"Nepal","Tibetans","2003","20000","704","20000","704"
"Netherlands","Afghanistan","2003","26433","","26433",""
"Netherlands","Albania","2003","167","","167",""
"Netherlands","Algeria","2003","366","","366",""
"Netherlands","Angola","2003","3570","","3570",""
"Netherlands","Armenia","2003","1287","","1287",""
"Netherlands","Azerbaijan","2003","1491","","1491",""
"Netherlands","Bangladesh","2003","66","","66",""
"Netherlands","Belarus","2003","43","","43",""
"Netherlands","Benin","2003","9","","9",""
"Netherlands","Bhutan","2003","18","","18",""
"Netherlands","Bosnia and Herzegovina","2003","19943","","19943",""
"Netherlands","Brazil","2003","3","","3",""
"Netherlands","Bulgaria","2003","34","","34",""
"Netherlands","Burkina Faso","2003","10","","10",""
"Netherlands","Burundi","2003","1280","","1280",""
"Netherlands","Cabo Verde","2003","1","","1",""
"Netherlands","Cambodia","2003","41","","41",""
"Netherlands","Cameroon","2003","103","","103",""
"Netherlands","Central African Rep.","2003","5","","5",""
"Netherlands","Chad","2003","14","","14",""
"Netherlands","Chile","2003","2","","2",""
"Netherlands","China","2003","2434","","2434",""
"Netherlands","Colombia","2003","85","","85",""
"Netherlands","Congo","2003","449","","449",""
"Netherlands","Côte d'Ivoire","2003","71","","71",""
"Netherlands","Croatia","2003","514","","514",""
"Netherlands","Cuba","2003","8","","8",""
"Netherlands","Czech Rep.","2003","35","","35",""
"Netherlands","Dem. People's Rep. of Korea","2003","14","","14",""
"Netherlands","Dem. Rep. of the Congo","2003","1975","","1975",""
"Netherlands","Djibouti","2003","5","","5",""
"Netherlands","Ecuador","2003","2","","2",""
"Netherlands","Egypt","2003","34","","34",""
"Netherlands","Equatorial Guinea","2003","2","","2",""
"Netherlands","Eritrea","2003","250","","250",""
"Netherlands","Estonia","2003","9","","9",""
"Netherlands","Ethiopia","2003","824","","824",""
"Netherlands","France","2003","1","","1",""
"Netherlands","Gambia","2003","8","","8",""
"Netherlands","Georgia","2003","712","","712",""
"Netherlands","Germany","2003","2","","2",""
"Netherlands","Ghana","2003","33","","33",""
"Netherlands","Guinea","2003","893","","893",""
"Netherlands","Guinea-Bissau","2003","24","","24",""
"Netherlands","Haiti","2003","3","","3",""
"Netherlands","Honduras","2003","3","","3",""
"Netherlands","Hong Kong SAR, China","2003","1","","1",""
"Netherlands","Hungary","2003","9","","9",""
"Netherlands","India","2003","19","","19",""
"Netherlands","Indonesia","2003","15","","15",""
"Netherlands","Iraq","2003","28640","","28640",""
"Netherlands","Islamic Rep. of Iran","2003","7944","","7944",""
"Netherlands","Israel","2003","28","","28",""
"Netherlands","Jordan","2003","12","","12",""
"Netherlands","Kazakhstan","2003","101","","101",""
"Netherlands","Kenya","2003","23","","23",""
"Netherlands","Kuwait","2003","13","","13",""
"Netherlands","Kyrgyzstan","2003","14","","14",""
"Netherlands","Latvia","2003","10","","10",""
"Netherlands","Lebanon","2003","212","","212",""
"Netherlands","Liberia","2003","1086","","1086",""
"Netherlands","Libya","2003","58","","58",""
"Netherlands","Lithuania","2003","16","","16",""
"Netherlands","Malawi","2003","4","","4",""
"Netherlands","Malaysia","2003","2","","2",""
"Netherlands","Mali","2003","8","","8",""
"Netherlands","Mauritania","2003","201","","201",""
"Netherlands","Mauritius","2003","2","","2",""
"Netherlands","Mongolia","2003","41","","41",""
"Netherlands","Morocco","2003","21","","21",""
"Netherlands","Mozambique","2003","3","","3",""
"Netherlands","Myanmar","2003","208","","208",""
"Netherlands","Nepal","2003","3","","3",""
"Netherlands","Netherlands","2003","227","","227",""
"Netherlands","Nicaragua","2003","5","","5",""
"Netherlands","Niger","2003","61","","61",""
"Netherlands","Nigeria","2003","129","","129",""
"Netherlands","Pakistan","2003","218","","218",""
"Netherlands","Papua New Guinea","2003","12","","12",""
"Netherlands","Peru","2003","25","","25",""
"Netherlands","Philippines","2003","5","","5",""
"Netherlands","Poland","2003","21","","21",""
"Netherlands","Rep. of Korea","2003","5","","5",""
"Netherlands","Rep. of Moldova","2003","31","","31",""
"Netherlands","Romania","2003","77","","77",""
"Netherlands","Russian Federation","2003","1379","","1379",""
"Netherlands","Rwanda","2003","1048","","1048",""
"Netherlands","Saudi Arabia","2003","1","","1",""
"Netherlands","Senegal","2003","3","","3",""
"Netherlands","Serbia (and Kosovo: S/RES/1244 (1999))","2003","4513","","4513",""
"Netherlands","Sierra Leone","2003","3663","","3663",""
"Netherlands","Slovakia","2003","65","","65",""
"Netherlands","Solomon Islands","2003","34","","34",""
"Netherlands","Somalia","2003","14046","","14046",""
"Netherlands","South Africa","2003","4","","4",""
"Netherlands","Sri Lanka","2003","1806","","1806",""
"Netherlands","State of Palestine","2003","2","","2",""
"Netherlands","Stateless","2003","826","","826",""
"Netherlands","Sudan","2003","3537","","3537",""
"Netherlands","Suriname","2003","38","","38",""
"Netherlands","Switzerland","2003","1","","1",""
"Netherlands","Syrian Arab Rep.","2003","1479","","1479",""
"Netherlands","Tajikistan","2003","46","","46",""
"Netherlands","The former Yugoslav Rep. of Macedonia","2003","85","","85",""
"Netherlands","Togo","2003","258","","258",""
"Netherlands","Tunisia","2003","74","","74",""
"Netherlands","Turkey","2003","1346","","1346",""
"Netherlands","Turkmenistan","2003","2","","2",""
"Netherlands","Tuvalu","2003","3","","3",""
"Netherlands","Uganda","2003","58","","58",""
"Netherlands","Ukraine","2003","478","","478",""
"Netherlands","United Kingdom","2003","2","","2",""
"Netherlands","United Rep. of Tanzania","2003","8","","8",""
"Netherlands","United States","2003","5","","5",""
"Netherlands","Uzbekistan","2003","97","","97",""
"Netherlands","Various","2003","2870","","2870",""
"Netherlands","Venezuela (Bolivarian Republic of)","2003","1","","1",""
"Netherlands","Viet Nam","2003","233","","233",""
"Netherlands","Yemen","2003","82","","82",""
"Netherlands","Zambia","2003","1","","1",""
"Netherlands","Zimbabwe","2003","6","","6",""
"New Zealand","Afghanistan","2003","618","","618",""
"New Zealand","Albania","2003","2","","2",""
"New Zealand","Algeria","2003","20","","20",""
"New Zealand","Angola","2003","1","","1",""
"New Zealand","Bahrain","2003","1","","1",""
"New Zealand","Bangladesh","2003","2","","2",""
"New Zealand","Bolivia (Plurinational State of)","2003","1","","1",""
"New Zealand","Burundi","2003","12","","12",""
"New Zealand","Cambodia","2003","17","","17",""
"New Zealand","Cameroon","2003","1","","1",""
"New Zealand","Chile","2003","5","","5",""
"New Zealand","China","2003","37","","37",""
"New Zealand","Colombia","2003","25","","25",""
"New Zealand","Congo","2003","8","","8",""
"New Zealand","Cuba","2003","1","","1",""
"New Zealand","Czech Rep.","2003","9","","9",""
"New Zealand","Dem. People's Rep. of Korea","2003","1","","1",""
"New Zealand","Dem. Rep. of the Congo","2003","27","","27",""
"New Zealand","Djibouti","2003","17","","17",""
"New Zealand","Dominican Rep.","2003","2","","2",""
"New Zealand","Eritrea","2003","126","","126",""
"New Zealand","Ethiopia","2003","439","","439",""
"New Zealand","India","2003","7","","7",""
"New Zealand","Indonesia","2003","3","","3",""
"New Zealand","Iraq","2003","902","","902",""
"New Zealand","Islamic Rep. of Iran","2003","518","","518",""
"New Zealand","Kuwait","2003","48","","48",""
"New Zealand","Kyrgyzstan","2003","1","","1",""
"New Zealand","Lao People's Dem. Rep.","2003","3","","3",""
"New Zealand","Lebanon","2003","7","","7",""
"New Zealand","Liberia","2003","5","","5",""
"New Zealand","Libya","2003","2","","2",""
"New Zealand","Macao SAR, China","2003","1","","1",""
"New Zealand","Madagascar","2003","3","","3",""
"New Zealand","Malaysia","2003","4","","4",""
"New Zealand","Mongolia","2003","3","","3",""
"New Zealand","Morocco","2003","4","","4",""
"New Zealand","Myanmar","2003","377","","377",""
"New Zealand","Nepal","2003","5","","5",""
"New Zealand","Nigeria","2003","2","","2",""
"New Zealand","Pakistan","2003","10","","10",""
"New Zealand","Russian Federation","2003","1","","1",""
"New Zealand","Rwanda","2003","12","","12",""
"New Zealand","Serbia (and Kosovo: S/RES/1244 (1999))","2003","384","","384",""
"New Zealand","Sierra Leone","2003","3","","3",""
"New Zealand","Somalia","2003","635","","635",""
"New Zealand","South Africa","2003","1","","1",""
"New Zealand","Sri Lanka","2003","194","","194",""
"New Zealand","State of Palestine","2003","22","","22",""
"New Zealand","Stateless","2003","5","","5",""
"New Zealand","Sudan","2003","170","","170",""
"New Zealand","Syrian Arab Rep.","2003","39","","39",""
"New Zealand","Thailand","2003","3","","3",""
"New Zealand","The former Yugoslav Rep. of Macedonia","2003","1","","1",""
"New Zealand","Togo","2003","1","","1",""
"New Zealand","Tunisia","2003","3","","3",""
"New Zealand","Turkey","2003","23","","23",""
"New Zealand","Uganda","2003","2","","2",""
"New Zealand","Ukraine","2003","1","","1",""
"New Zealand","Various","2003","879","","879",""
"New Zealand","Viet Nam","2003","69","","69",""
"New Zealand","Yemen","2003","2","","2",""
"New Zealand","Zimbabwe","2003","80","","80",""
"Nicaragua","Cuba","2003","1","2","1","2"
"Nicaragua","El Salvador","2003","290","37","290","37"
"Nicaragua","Ghana","2003","1","","1",""
"Nicaragua","Liberia","2003","1","","1",""
"Nicaragua","Nigeria","2003","1","","1",""
"Nicaragua","Sierra Leone","2003","3","1","3","1"
"Nicaragua","Somalia","2003","3","","3",""
"Niger","Cameroon","2003","4","","4",""
"Niger","Central African Rep.","2003","3","","3",""
"Niger","Chad","2003","151","","151",""
"Niger","Congo","2003","4","","4",""
"Niger","Côte d'Ivoire","2003","9","","9",""
"Niger","Dem. Rep. of the Congo","2003","84","","84",""
"Niger","Iraq","2003","6","","6",""
"Niger","Liberia","2003","1","","1",""
"Niger","Rwanda","2003","35","","35",""
"Niger","Somalia","2003","11","","11",""
"Niger","State of Palestine","2003","3","","3",""
"Niger","Sudan","2003","10","","10",""
"Niger","Togo","2003","7","","7",""
"Nigeria","Angola","2003","13","13","13","13"
"Nigeria","Burundi","2003","1","1","1","1"
"Nigeria","Cameroon","2003","7","7","7","7"
"Nigeria","Central African Rep.","2003","14","14","14","14"
"Nigeria","Chad","2003","3193","193","3193","193"
"Nigeria","Congo","2003","3","3","3","3"
"Nigeria","Côte d'Ivoire","2003","3","3","3","3"
"Nigeria","Dem. Rep. of the Congo","2003","105","105","105","105"
"Nigeria","Equatorial Guinea","2003","12","12","12","12"
"Nigeria","Eritrea","2003","21","21","21","21"
"Nigeria","Ethiopia","2003","14","14","14","14"
"Nigeria","Ghana","2003","86","86","86","86"
"Nigeria","Guinea","2003","12","12","12","12"
"Nigeria","Liberia","2003","3674","3674","3674","3674"
"Nigeria","Libya","2003","1","1","1","1"
"Nigeria","Namibia","2003","35","35","35","35"
"Nigeria","Rwanda","2003","24","24","24","24"
"Nigeria","Sierra Leone","2003","1756","1756","1756","1756"
"Nigeria","Somalia","2003","7","7","7","7"
"Nigeria","Sri Lanka","2003","24","24","24","24"
"Nigeria","State of Palestine","2003","24","24","24","24"
"Nigeria","Sudan","2003","102","102","102","102"
"Nigeria","Togo","2003","40","40","40","40"
"Norway","Afghanistan","2003","3309","","3309",""
"Norway","Albania","2003","31","","31",""
"Norway","Algeria","2003","106","","106",""
"Norway","Angola","2003","39","","39",""
"Norway","Armenia","2003","61","","61",""
"Norway","Azerbaijan","2003","63","","63",""
"Norway","Bangladesh","2003","20","","20",""
"Norway","Belarus","2003","42","","42",""
"Norway","Belgium","2003","2","","2",""
"Norway","Benin","2003","1","","1",""
"Norway","Bhutan","2003","8","","8",""
"Norway","Bosnia and Herzegovina","2003","4991","","4991",""
"Norway","Bulgaria","2003","8","","8",""
"Norway","Burundi","2003","397","","397",""
"Norway","Cambodia","2003","26","","26",""
"Norway","Cameroon","2003","32","","32",""
"Norway","Chad","2003","9","","9",""
"Norway","Chile","2003","4","","4",""
"Norway","China","2003","124","","124",""
"Norway","Colombia","2003","205","","205",""
"Norway","Congo","2003","127","","127",""
"Norway","Croatia","2003","1394","","1394",""
"Norway","Dem. People's Rep. of Korea","2003","3","","3",""
"Norway","Dem. Rep. of the Congo","2003","400","","400",""
"Norway","Egypt","2003","18","","18",""
"Norway","El Salvador","2003","70","","70",""
"Norway","Eritrea","2003","242","","242",""
"Norway","Estonia","2003","1","","1",""
"Norway","Ethiopia","2003","867","","867",""
"Norway","Georgia","2003","48","","48",""
"Norway","Ghana","2003","7","","7",""
"Norway","Guinea","2003","3","","3",""
"Norway","India","2003","29","","29",""
"Norway","Indonesia","2003","163","","163",""
"Norway","Iraq","2003","7820","","7820",""
"Norway","Islamic Rep. of Iran","2003","3356","","3356",""
"Norway","Jordan","2003","12","","12",""
"Norway","Kazakhstan","2003","66","","66",""
"Norway","Kenya","2003","36","","36",""
"Norway","Kuwait","2003","3","","3",""
"Norway","Lebanon","2003","33","","33",""
"Norway","Liberia","2003","439","","439",""
"Norway","Libya","2003","63","","63",""
"Norway","Macao SAR, China","2003","8","","8",""
"Norway","Malawi","2003","8","","8",""
"Norway","Malaysia","2003","13","","13",""
"Norway","Mauritania","2003","1","","1",""
"Norway","Mongolia","2003","4","","4",""
"Norway","Morocco","2003","6","","6",""
